Title,Price,Address,Bathroom,Room,Furnished,Pet Allowed
Cession bail Apt 3 1/2 tout meublé face métro Iberville 1225$,$1225.00,7145 Rue d'Iberville Montréal QC H2A 1T7 Canada,1,3 1/2,Oui,Non
3 1/2 À LOUER CHAUFFÉ,$750.00,3264 Boulevard Gouin E Montréal-Nord QC H1H 1A8 Canada,1,3 1/2,Non,Non
3 ½ Luxe au Centre-ville | Stationnement et plus!,$1449.00,2121 Saint Mathieu Montreal QC H3H 2J3,1,2 1/2,Non,Oui
studio bachelor 1 1/2 Downtown Westmount condo new May June,$1395.00,1750 cedar Montreal QC H3G 1A3,1,1 1/2,Non,Non
Corporate Stay- Furnished 1 Bedroom Suite in Downtown Montreal,$3400.00,1009 Rue De Bleury Montreal QC H2Z 0A3,1,2 1/2,Oui,Oui
furnished apartments,$3100.00,4301 Rue Jean-Talon Ouest Montreal QC H4P 1V5 Canada,2,5 1/2,Oui,Oui
Large 2 1/2 In Cowansville,$430.00,123 Rue Jacquemet Cowansville QC J2K 1A6 Canada,1,2 1/2,Non,Non
4 ½ rénové Mercier-Hochelaga-Maisonneuve - 850$,$850.00,580 Avenue Bilaudeau Montréal QC H1L 4A4 Canada,1,4 1/2,Non,Non
Large Room Available From November 4th to December 20th,$500.00,8391 Rue Ontario E Montréal QC H1L 3E5 Canada,1,1 1/2,Oui,Non
Grand 1 1/2 à louer maintenant,$536.00,H3S 1G4 Canada,1,1 1/2,Non,Non
Apartment Studio (1 ½) for rent in Downtown/ Griffintown,$1250.00,1010 William H3C0K8 Montreal QC,1,1 1/2,Non,Non
Condo 3 1/2 avec 5 électros métro sauvé,$1050.00,9965 Rue Lajeunesse #306 Montréal QC H3L 2C9 Canada,1,3 1/2,Non,Non
apartment furnished,$2800.00,4785 Avenue Dupuis Montréal QC H3W 1N4 Canada,1,6 1/2,Oui,Oui
Superbe 5 1/2 entièrement rénové Rosemont petite-patrie,$1455.00,2380 A Boulevard Rosemont Montréal QC H2G 1V1 Canada,1,5 1/2,Non,Non
Condo 3 1/2 avec les 5 électros inclus métro sauvé,$1050.00,9965 Rue Lajeunesse #306 Montréal QC H3L 2C9 Canada,1,3 1/2,Non,Non
Recently renovated 5 1/2 apartment - Lasalle Metro,$1125.00,3389 Rue Evelyn Verdun QC H4G 1P1 Canada,1,5 1/2,Non,Oui
4 1/2 à louer à 5 min du métro Monk,$850.00,6622 D'Aragon H4E 3B3 Montreal QC,1,4 1/2,Non,Non
_⭐⭐⭐⭐_DON'T WASTE MONEY_$1000 BUY CONDO - RENT TO OWN - BUY HOME,$999.00,Cérès Québec Canada,1,5 1/2,Non,Non
3 ½ Rénové à neuf et Meublé,$1300.00,3400 Avenue Linton Montréal QC H3S 1T2 Canada,1,2 1/2,Unknown,Non
RARE : 5 1/2 près de tout refait à neuf dispo immédiatement,$1300.00,4824 Rue la Fontaine Montréal QC H1V 1R4 Canada,1,5 1/2,Non,Non
LACHINE 3 1/2.$685.1ER DEC. 10 MINS DU CENTREVILLE & AEROPORT,$685.00,704 7E AVENUE LACHINE H8S3A3 QC,1,3 1/2,Non,Non
STYLE CONDO A AIRE OUVERTE COUR PRIVÉE NDG,$1900.00,960 Av Girouard Montréal QC H4A 3C1 Canada,1,6 1/2,Non,Non
Villeray 8 1/2 avec garage driveway métro Jarry,$1825.00,7839 Rue Saint Gérard Montréal QC H2R 2K5 Canada,1,6 1/2,Non,Non
2 chambres fermées - 3 1/2 Métro Honoré Beaugrand 630$,$630.00, Montréal H1L2T1 QC Canada,1,3 1/2,Oui,Oui
beau condo 3 1/2 a louer,$1095.00, montreal h1y 3c9 QC Canada,1,3 1/2,Non,Non
3 ½ Luxe au Centre-ville | Stationnement et plus!,$1449.00,2121 Saint Mathieu Montreal QC H3H 2J3,1,2 1/2,Non,Oui
***Beautiful 1.5 in Montreal Nord - NOW!!! ALL INCLUDED***,$650.00,6475 Boul Henri-Bourassa E Montréal-Nord QC H1G 2V5 Canada,1,1 1/2,Non,Non
SPACIEUX 4 1/2 | AURÉA RIVIÈRE-DES-PRAIRIES | CONSTRUCTION NEUVE,$1090.00,12331-12339 Trefflé-Berthiaume Rivière-des-Prairies QC H1C 0E4,1,4 1/2,Non,Unknown
3-1/2 TMR / Ville Mont Royal,$725.00,25 Avenue Brittany Mont-Royal QC H3P 1A2 Canada,1,2 1/2,Non,Non
***Beautiful 3.5 in Montreal Nord - ALL INCLUDED***,$795.00,6475 Boul Henri-Bourassa E Montréal-Nord QC H1G 2V5 Canada,1,2 1/2,Non,Non
Beautiful 4 1/2 apartment in Verdun,$950.00,317-3 ave Verdun Canada,1,4 1/2,Non,Non
Monkland Village - 1 Month FREE - New Spacious Suites,$1825.00,5999 Monkland Avenue Montreal QC H4A 1H1,1,4 1/2,Non,Unknown
Monkland Village - 1 Month FREE - New Spacious Suites,$1425.00,5999 Monkland Avenue Montreal QC H4A 1H1,1,2 1/2,Non,Unknown
Recherché :Recherche 4 1/2 ou 2 chambres en coloc au plateau (DECEMBRE),$1200.00, Montréal H2H1A2 QC Canada,1,4 1/2,Oui,Unknown
Condo 4-1/2 a louer -Urgent-,$1240.00,7630 Chemin de Chambly Saint-Hubert QC J3Y 0C4 Canada,1,4 1/2,Non,Oui
Beautiful FURNISHED PENTHOUSE with ROOFTOP great location - JAN.,$2150.00,5790 Ave Christophe-Colomb Montreal QC H2S 2G1 Canada,1,4 1/2,Oui,Unknown
APPARTEMENT AU RDC D'UN DUPLEX À LOUER 6 1/2 - Honoré-Beaugrand,$1300.00, Montréal H1K2N5 QC Canada,1,6 1/2,Non,Unknown
3.5 au centre de Lachine (32 ave),$540.00,2770 Louis-Pare #104 Lachine QC H8S 1K8,1,3 1/2,Non,Unknown
Luxury 2 bedroom apartment for rent in Westmount!,$2945.00,4300 Boulevard de Maisonneuve Ouest Westmount QC H3Z 1K8,2,4 1/2,Non,Non
TO RENT 1 BEDROOM FULLY FURNISHED Station Honore Beaugrand,$900.00,2262 Avenue Bilaudeau Montreal H1L 4A6 QC,1,3 1/2,Oui,Non
A LOUER 5 1/2 - Métro Honoré-Beaugrand,$1175.00,2264 Avenue Bilaudeau Montreal H1L 4A6 QC,1,5 1/2,Non,Oui
CONDO NEUF ET MODERNE 2e ETAGE ELECTROMÉNAGERS VILLERAY,$1450.00,7579 Rue St-Hubert Montréal QC H2R 2N7 Canada,1,3 1/2,Non,Oui
RENOVATED 2bed 4 1/2 CDN Cote des Neige University Université,$1299.00,3550 Ridgewood Montreal QC H3V 1C2,1,4 1/2,Non,Unknown
Superbe logement avec finition style condo et 1 chambre fermée,$1035.00,3675 De chambly #108 Montreal QC J4L 1N9,1,2 1/2,Non,Unknown
Newly-Renovated from A to Z! Great Studios in Great Location!,$675.00,5309 Place Lucy Cote-des-Neiges (Snowdon) QC H3H 2C5,1,1 1/2,Non,Oui
Joli condo spatieux central tranquille avec piscine et gym,$1450.00,1000 Boulevard René-Lévesque E Montréal QC H2L 5E2 Canada,1,3 1/2,Non,Unknown
3 BR-$1500- Cavendish plaza & Côte-Saint-Luc,$1500.00,6000 Boulevard Cavendish Montreal QC H4W 2Y2,2,5 1/2,Non,Unknown
Entretenu par des professionnels propre et luxueux,$1230.00,1025 Rue Sherbrooke East Montreal QC H2L 1L4,1,4 1/2,Non,Unknown
A LOUER - MONTREAL - CONSTRUCTION NEUVE 4 1/2 -A/C GARAGE,$1205.00,3405 Henri-Bourassa Montréal QC H1H 5M2,1,4 1/2,Non,Unknown
A LOUER - MONTREAL - CONSTRUCTION NEUVE 3 1/2 A/C QUARTZ,$930.00,3405 Henri-Bourassa Montréal QC H1H 5M2,1,2 1/2,Non,Unknown
May 2019! Furnished near McGill - All Inclusive + WIFI!,$715.00,1430 rue City Councillors Montreal QC H3B 1B4,2,2 1/2,Oui,Non
❤41/2 CONDO APPARTEMENT BRAND NEW DOWTOWN CENTRE VILLE A LOUER,$1999.00,1800 Boulevard René-Lévesque O #110 Montréal QC H3H 2H2 Canada,1,4 1/2,Oui,Non
Furnished Apartment for short term rental Downtown Montreal,$1595.00,1400 Maisonneuve Montréal QC H2L2A7,1,2 1/2,Oui,Non
2 Bedroom Loft-Style Rental Apartment,$2250.00,1009 Rue De Bleury Montreal QC H2Z 0A3,1,4 1/2,Non,Oui
3 Bdrm/2 baths.Beautiful.Bright.2017construction. CSL $1950,$1950.00,7369 Chemin Kildare Côte Saint-Luc QC H4W Canada,2,5 1/2,Non,Non
Huge Luxury Loft Style Apartment,$1375.00,1009 Rue De Bleury Montreal QC H2Z 0A3,1,1 1/2,Non,Oui
3 1/2 rénové Jean-Talon & Saint-léonard,$700.00,6965 rue de Choisy Montreal QC H1T 2J6,1,3 1/2,Non,Unknown
4 1/2 piscine parc pour enfants Cartierville,$760.00,5500 Rue de Salaberry Montreal QC H4J 1J6,1,4 1/2,Non,Unknown
Beautiful 2 BDR Condo in Pierrefonds FOR SALE,$196900.00,16729 Pierrefonds Pierrefonds QC H9H 5L8,1,4 1/2,Oui,Unknown
Heart of NDG / Au coeur de NDG 2372 Wilson,$Surdemande,2372 Wilson Montreal QC H4A 2T3,1,2 1/2,Non,Unknown
Recherché :Cherche 5 1/2 à louer juillet 2019,$Surdemande, Montréal H3M2x7 QC Canada,1,5 1/2,Non,Unknown
5550 Côte St-Luc- 3 1/2 4 1/2 5 1/2- Disponible immediatement,$Surdemande,5550 Cote-St-Luc Montreal QC H3X 2C9,1,2 1/2,Non,Unknown
NDG - 2349 Melrose street,$Surdemande,2349 Melrose Montreal QC H4H 1T7,1,1 1/2,Non,Unknown
LARGE 3 1/2 .AHUNSTIC,$750.00,10250 Rue Paul - Comtois Montréal QC H4N 2Y5 Canada,1,2 1/2,Non,Non
Métro Joliette - 4 1/2 rénové,$950.00,2288 A Rue de Chambly Montréal QC H1W 3J5 Canada,1,4 1/2,Non,Unknown
Sweet apartment for a short rental,$1100.00,H3H2L7 Canada,1,2 1/2,Oui,Non
COEUR DE VILLERY : APARTEMENT 3CAC 1ER ETAGE AVEC GARAGE,$2400.00,8032 Rue Saint-André Montréal QC H2R 2R4 Canada,1,5 1/2,Non,Non
ANJOU: CONDO 3 1/2 AU RDC AVEC STATIONNEMENT,$1100.00,7280 Galeries d'Anjou H1M3Y1 ANJOU QC,1,2 1/2,Oui,Non
Superbe condo 3 1/2 de 600 p.c meublée et équipée,$1700.00,5336-5338 Chambord Montreal QC H2J 3N5,1,2 1/2,Oui,Non
Modern semi-basement 3 1/2 - Cote-des-neiges - HEC / UdeM,$847.00,3185 Van Horne Montreal QC H3S 1R3,1,3 1/2,Non,Unknown
Loué tout meublé 2 chambres à coucher,$2300.00,1450 Parthenais montreal QC H3K 3R9,1,4 1/2,Oui,Non
CŒUR DU VIEUX-MONTRÉAL & PRÈS DU MÉTRO! 4 ½ meublé!(St Louis),$2800.00,446 St-Louis Montreal QC H2Y 1A9,1,4 1/2,Oui,Non
Vieux Montréal - Superbe appart complètement rénové + tout meubl,$1800.00,448 Rue Saint Louis Montreal QC H2Y 1A9,1,2 1/2,Oui,Non
EMPLACEMENT DE CHOIX ! Condo 2 ch. (St-Louis),$2500.00,442 St-Louis Montreal QC H2Y 1A9,1,4 1/2,Oui,Non
New Studios - in McGill ghetto near Saint-Laurent - Wifi,$945.00,25 des Pins West Montreal QC H2W 1P8,1,1 1/2,Non,Unknown
Cession bail Apt 3 1/2 tout meublé face métro Iberville 1225$,$1225.00,7145 Rue d'Iberville Montréal QC H2A 1T7 Canada,1,3 1/2,Oui,Non
Luxury 2 bedroom apartment for rent in Westmount!,$2945.00,4300 Boulevard de Maisonneuve Ouest Westmount QC H3Z 1K8,2,4 1/2,Non,Non
2710 Barclay 3 1/2 LOUER RENT Octobre,$899.00,2710 Barclay Montreal QC H3S 1J6,1,3 1/2,Non,Unknown
2 Bedroom Loft-Style Rental Apartment,$2250.00,1009 Rue De Bleury Montreal QC H2Z 0A3,1,4 1/2,Non,Oui
2 bedrooms chambres Downtown Centre Ville McGill DECEMBER,$1695.00,1530 DR PENFIELD Montreal QC H3G 1C1,2,4 1/2,Non,Non
3 1/2 Bath Apartment in Montreal Financial District,$1550.00,688 Rue Notre-Dame Ouest Montreal QC H3W 1J4,1,2 1/2,Non,Non
4 1/2 à louer près des Galerie d\'Anjou,$1050.00,7050 Bombardier Anjou QC H1J2G1,1,4 1/2,Non,Non
Bachelor available at 1350 Du Fort street Montreal,$800.00,1350 Du Fort street Montreal QC H3H 2R7,1,1 1/2,Non,Unknown
1 1/2 à louer au 1350 rue Du Fort Montréal,$800.00,1350 rue Du Fort Montréal QC H3H 2R7,1,1 1/2,Non,Unknown
Appartement 4 1/2 à louer,$670.00,11975 Rue Ontario E Pointe-aux-Trembles QC H1B 1L2 Canada,1,4 1/2,Non,Unknown
3 1/2 Plateau Parc La Fontaine !tout inclus !mois gratuite,$1100.00,3425 Rue Papineau Montréal QC H2K Canada,1,3 1/2,Non,Non
Superbe condominium à louer !,$1250.00,14419 Rue Jolicoeur #201 Pierrefonds QC H9H 5M5 Canada,1,4 1/2,Non,Non
New luminous downtown furnished Condo w/ park view - Jan 2019,$1880.00,1265 Rue Lambert Closse Montréal QC H3H 1Z4 Canada,1,2 1/2,Oui,Non
Nouveau Condo luxueux aux centre ville belle vue - Janvier 2019,$1880.00,1265 Rue Lambert Closse Montréal QC H3H 1Z4 Canada,1,3 1/2,Oui,Non
STYLE CONDO 3e ÉTAGE STATIONNEMENT INCLUS MONTRÉAL-NORD,$900.00,3865 Boul Henri-Bourassa E Montréal-Nord QC H1H 1K6 Canada,1,4 1/2,Non,Non
Bon secteur - Grand 4 1/2 - avec terrasse,$845.00, Montreal H9H4T1 QC Canada,1,4 1/2,Non,Oui
APARTMENT/Appartement NDG Incl. Heat+Hot Water+Fridge/Stove,$875.00,6545 Rue Sherbrooke O Montréal QC H4B 1N2 Canada,1,4 1/2,Non,Unknown
4 1/2 - Rosemont - tout inclus,$1400.00, Montréal H2G 1X6 QC Canada,1,4 1/2,Oui,Non
Furnished sublet Plateau/McGill *january semester,$1500.00,3600 Av du Parc Montréal QC H2X 2J1 Canada,1,4 1/2,Oui,Unknown
Recherché :Urgent cherche Logement,$Surdemande,5644 Rue Beaulieu Montréal QC H4E 3E3 Canada,1,5 1/2,Non,Oui
4 et demi à louer ! 600$ Montréal-Est,$600.00,2182 Rue Pierre-Tétreault Montréal QC H1L 4Y7 Canada,1,4 1/2,Non,Oui
Condo 1450 Parthenais for rent,$1200.00,1450 Parthenais H2K3R9 Montreal QC,1,3 1/2,Oui,Non
FULLY FURNISHED ALL INCLUDED 51/2 - NDG (LOYOLA),$1650.00, Montreal H4V 2A2 QC Canada,1,5 1/2,Oui,Non
Métro D'Iberville 4 1/2 haut de triplex stationnement.,$900.00,1450 Rue Guy Montréal QC H3H 1J5 Canada,1,4 1/2,Non,Non
4 1/2 (demi sous-sol lumineux) près hôpital Maisonneuve-Rosemont,$740.00, st-leonard H1S 1B4 QC Canada,1,4 1/2,Non,Unknown
MILE-END!!GRAND 51/2 AVEC 3 CHAMBRES FERMÉES+1 MOIS GRATUIT,$1750.00,5370 Av du Parc Montréal QC H2V 4G7 Canada,1,5 1/2,Non,Non
Luxury Condo For Rent in TMR One Bedroom,$1800.00,905 Avenue Plymouth Mont-Royal QC H4P 1B2 Canada,1,2 1/2,Non,Oui
Large 2 Bedroom (4.5) Apartment in the Heart of Downtown!,$2200.00,350 Prince-arthur West Montreal QC H2X 3R4,1,4 1/2,Non,Oui
3 1/2 NAVARIN À VILLE ST. LAURENT à coté du métro CÔTE- VERTU,$945.00,990 SAINT FRANCOIS XAVIER Saint Laurent QC H4L 5E7,1,3 1/2,Non,Non
Ville St Laurent Très beau 3 1/2 Rénové Haut Triplex 2 balcons,$770.00,2897 TOUPIN Saint-Laurent H4R1G7 QC,1,2 1/2,Non,Non
Nice Renovated 4 1-2 2BR Lachine 1st Provost Dog OK,$950.00,135 Rue Provost Lachine QC H8S 1L4 Canada,1,4 1/2,Non,Oui
Condo 4 1/2 700sqft walking distance to Angrignon metro.,$925.00,1560 Rue Lapierre LaSalle QC H8N 2R2 Canada,1,4 1/2,Non,Unknown
4.5 à louer Complexe Deguire - 50 Quintin suite 111 - Ville Sai,$899.00,50 Quintin suite 111 Ville Saint-Laurent QC H4N 3A5,1,4 1/2,Non,Non
Superbe rez-de-chaussée rénové dans Griffintown,$1400.00,Rue Murray Montréal QC H3C 2E1 Canada,1,3 1/2,Non,Oui
2 1/2 A 2 PAS DU METRO FRONTENAC ECLAIREÉ CHAUF LIBRE LA,$620.00,2408 Rue Frontenac Montréal QC H2K 2Z9 Canada,1,2 1/2,Non,Non
Urget! $755 3.5 Winter Sublet,$755.00,2495 Rue Rachel E Montréal QC H2H 1R9 Canada,1,2 1/2,Oui,Non
